name	singer	title	sex	url	year	singer_sex
מאירה	אבי גואטה	שלמים_25	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1403&wrkid=19008	0	
ליבי	אבי גואטה	שלמים_25	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1403&wrkid=19008	0	
ליבי	אבי גואטה	תלחשי לו שאהבת_26	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1403&wrkid=15825	0	
בינה	אבי גולדפינגר	דינידין_3	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=14691&wrkid=40372	0	
מעיין	אבי גולדפינגר	מתנת פרידה_7	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=14691&wrkid=36611	0	
פרידה	אבי גולדפינגר	מתנת פרידה_7	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=14691&wrkid=36611	0	
אושר	אבי גרייניק	אל האור_3	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=29&wrkid=13153	0	male
ליבי	אבי גרייניק	אני מחכה לך_6	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=29&wrkid=45970	0	male
אן	אבי גרייניק	ההוא מהאלה_8	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=29&wrkid=14633	0	male
שלהבת	אבי דבש	געגוע_1	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=15852&wrkid=39985	0	
אושר	אבי דבש	עד שתבואי_4	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=15852&wrkid=36277	0	
ליבי	אבי דהן	שר בלילה_2	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=8459&wrkid=18829	0	male
שירי	אבי דהן	שר בלילה_2	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=8459&wrkid=18829	0	male
לילה	אבי דור	מביט מהצד_11	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1666&wrkid=7535	0	male
אן	אבי דור	מטוס ללא טייס_12	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1666&wrkid=9191	0	male
יעלה	אבי דור	מכאן_13	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1666&wrkid=27931	0	male
יעלה	אבי דור	מכאן_14	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1666&wrkid=5026	0	male
ברכה	אבי דן	כל החיילים חוזרים הביתה_2	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=3739&wrkid=22509	0	
ליבי	אבי דן	מלכה בלי כתר_3	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=3739&wrkid=17362	0	
אליה	אבי הזמר	אין על סבתא_1	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=14386&wrkid=40923	0	
אסי	אבי וולף	לאסי שובי הביתה_2	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=3169&wrkid=22770	0	
ניר	אבי וולף	לאסי שובי הביתה_2	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=3169&wrkid=22770	0	
ים	אבי ז'ינו	המילים של אריק_1	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=16068&wrkid=36735	0	
כנרת	אבי ז'ינו	המילים של אריק_1	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=16068&wrkid=36735	0	
אמי	אבי זאודי	אחיה ואהיה_1	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=14281&wrkid=32843	0	
ליבי	אבי חיון	חוטים ומקרופונים_1	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=17911&wrkid=40668	0	
ליבי	אבי חלפון	מתגייס לאהבה_1	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=4148&wrkid=13739	0	
אן	אבי טבוך	לא חשוב לי לאן_2	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=7475&wrkid=34214	0	
רונית	אבי טבוך	לא חשוב לי לאן_2	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=7475&wrkid=34214	0	
אן	אבי טולדנו	אדם נשאר ילד_3	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=30&wrkid=14483	0	male
אנה	אבי טולדנו	אהבה רחוקה_6	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=30&wrkid=18769	0	male
אודם	אבי טולדנו	איך את נראית_10	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=30&wrkid=20510	0	male
אריאנה	אבי טולדנו	אריאנה_20	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=30&wrkid=13805	0	male
טל	אבי טולדנו	את הרוח_21	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=30&wrkid=10755	0	male
אלי	אבי טולדנו	את הרוח_21	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=30&wrkid=10755	0	male
קשת	אבי טולדנו	את הרוח_21	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=30&wrkid=10755	0	male
אביב	אבי טולדנו	את הרוח_21	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=30&wrkid=10755	0	male
ברכה	אבי טולדנו	בכל הכח_28	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=30&wrkid=9673	0	male
תכלת	אבי טולדנו	בלילה יורד ביתי אל הים_32	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=30&wrkid=8558	0	male
ליבי	אבי טולדנו	במילים אחרות_33	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=30&wrkid=17528	0	male
אור	אבי טולדנו	במילים אחרות_33	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=30&wrkid=17528	0	male
זוהר	אבי טולדנו	במילים אחרות_33	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=30&wrkid=17528	0	male
נחמה	אבי טולדנו	ההצגה נמשכת_42	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=30&wrkid=20366	0	male
אורה	אבי טולדנו	הורה ממטרה_44	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=30&wrkid=3633	0	male
חסידה	אבי טולדנו	הורה_43	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=30&wrkid=1022	0	male
ליבי	אבי טולדנו	הורה_43	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=30&wrkid=1022	0	male
יסמין	אבי טולדנו	זוהי יפו_57	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=30&wrkid=4534	0	male
שחר	אבי טולדנו	זריחה לבנה_60	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=30&wrkid=17106	0	male
רימון	אבי טולדנו	חג יובל_61	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=30&wrkid=3398	0	male
פז	אבי טולדנו	חסד נעורייך_65	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=30&wrkid=18985	0	male
דני	אבי טולדנו	ידידי טינטן_67	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=30&wrkid=10217	0	male
אביב	אבי טולדנו	לא יהיו לך אצלי_80	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=30&wrkid=8435	0	male
לילך	אבי טולדנו	לה בוהם_83	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=30&wrkid=13807	0	male
אווה	אבי טולדנו	לה מאמא_84	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=30&wrkid=13806	0	male
